name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
GCF_005281015	Citrobacter freundii	546	S	76	27	103	0.73571
GCF_005281015	Citrobacter werkmanii	67827	S	11	1	12	0.08571
GCF_005281015	Citrobacter youngae	133448	S	10	4	14	0.1
GCF_005281015	Citrobacter pasteurii	1563222	S	7	2	9	0.06429
SG18_138_2_S33	Citrobacter freundii	546	S	4	0	4	0.13793
SG18_138_2_S33	Citrobacter youngae	133448	S	4	3	7	0.24138
SG18_138_2_S33	Citrobacter sp. FDAARGOS_156	1702170	S	9	7	16	0.55172
GCF_000937505	Citrobacter freundii	546	S	4	15	19	1.0
ERQ0045	Citrobacter freundii	546	S	54	40	94	1.0
GCF_005281175	Citrobacter pasteurii	1563222	S	19	7	26	0.61905
GCF_005281175	Citrobacter youngae	133448	S	6	3	9	0.21429
GCF_005281175	Citrobacter sp. FDAARGOS_156	1702170	S	5	1	6	0.14286
SD_9_A7	Citrobacter youngae	133448	S	8	13	21	0.6
SD_9_A7	Citrobacter sp. FDAARGOS_156	1702170	S	6	7	13	0.37143
ERQ0222	Citrobacter freundii complex sp. CFNIH9	2077149	S	95	106	201	0.78516
ERQ0222	Citrobacter freundii	546	S	13	-5	8	0.03125
ERQ0222	Klebsiella michiganensis	1134687	S	7	5	12	0.04688
ERQ0222	Klebsiella pneumoniae	573	S	6	7	13	0.05078
ERQ0222	Escherichia coli	562	S	15	5	20	0.07812
GCF_002918835	Citrobacter freundii complex sp. CFNIH4	2077148	S	38	77	115	0.92
GCF_002918835	Citrobacter freundii	546	S	27	-17	10	0.08
ERQ0154	Citrobacter freundii	546	S	113	137	250	0.94697
ERQ0154	Enterobacter cloacae	550	S	5	3	8	0.0303
ERQ0154	Salmonella enterica	28901	S	4	1	5	0.01894
GCF_001546305	Citrobacter koseri	545	S	46	15	61	0.98387
GCF_001546305	Klebsiella pneumoniae	573	S	4	-4	0	0.0
SG18_138_1_S32	Citrobacter sp. FDAARGOS_156	1702170	S	11	7	18	0.5625
SG18_138_1_S32	Citrobacter freundii	546	S	5	1	6	0.1875
SG18_138_1_S32	Citrobacter youngae	133448	S	4	2	6	0.1875
GCF_001552875	Citrobacter koseri	545	S	29	13	42	0.93333
GCF_001552875	Klebsiella aerogenes	548	S	4	-2	2	0.04444
GCF_000826205	Citrobacter freundii	546	S	34	8	42	0.76364
GCF_000826205	Citrobacter youngae	133448	S	5	0	5	0.09091
GCF_000826205	Citrobacter werkmanii	67827	S	4	-2	2	0.03636
GCF_000826205	Citrobacter pasteurii	1563222	S	4	0	4	0.07273
ERQ0186	Citrobacter freundii	546	S	80	42	122	0.91045
ERQ0186	Enterobacter hormaechei	158836	S	6	5	11	0.08209
GCF_008931685	Citrobacter freundii	546	S	3	1	4	0.66667
GCF_008931685	Klebsiella pneumoniae	573	S	1	0	1	0.16667
GCF_002918935	Citrobacter sp. RHB25-C09	2742624	S	8	0	8	0.24242
GCF_002918935	Citrobacter freundii	546	S	5	11	16	0.48485
GCF_002918935	Salmonella enterica	28901	S	4	3	7	0.21212
GCF_902387635	Citrobacter freundii	546	S	1	0	1	1.0
GCF_002918455	Citrobacter sp. RHBSTW-00881	2742667	S	3	1	4	0.17391
GCF_002918455	Citrobacter sp. TSA-1	184912	S	2	0	2	0.08696
GCF_002918455	Citrobacter sp. RHBSTW-01044	2742678	S	2	1	3	0.13043
GCF_002918455	Citrobacter sp. RHBSTW-00887	2742668	S	2	0	2	0.08696
GCF_002918455	Citrobacter sp. RHB35-C21	2742626	S	2	0	2	0.08696
GCF_002918455	Citrobacter sp. RHBSTW-00986	2742675	S	1	0	1	0.04348
GCF_002918455	Citrobacter sp. RHBSTW-00570	2742655	S	1	0	1	0.04348
GCF_002918455	Citrobacter sp. RHBSTW-00599	2742657	S	1	0	1	0.04348
GCF_002918455	Citrobacter braakii	57706	S	2	0	2	0.08696
GCF_002947035	Citrobacter koseri	545	S	3	0	3	1.0
GCF_014333035	Citrobacter amalonaticus	35703	S	44	11	55	0.52885
GCF_014333035	Citrobacter sp. CFNIH10	1920110	S	11	10	21	0.20192
GCF_014333035	Citrobacter sp. RHB35-C17	2742625	S	9	7	16	0.15385
GCF_014333035	Citrobacter sp. RHB25-C09	2742624	S	6	0	6	0.05769
GCF_014333035	Citrobacter farmeri	67824	S	6	-1	5	0.04808
DB_3_C11	Citrobacter freundii	546	S	98	38	136	0.47887
DB_3_C11	Klebsiella pneumoniae	573	S	11	1	12	0.04225
DB_3_C11	Escherichia coli	562	S	15	119	134	0.47183
SG18_42_S4	Citrobacter youngae	133448	S	9	8	17	0.45946
SG18_42_S4	Citrobacter freundii	546	S	4	0	4	0.10811
SG18_42_S4	Citrobacter sp. FDAARGOS_156	1702170	S	9	5	14	0.37838
GCF_000692115	Citrobacter freundii	546	S	7	11	18	1.0
GCF_002919795	Citrobacter freundii complex sp. CFNIH3	2077147	S	81	77	158	0.99371
GCF_002919795	Citrobacter freundii	546	S	4	-4	0	0.0
GCF_002919795	Citrobacter braakii	57706	S	4	-3	1	0.00629
ERQ0682	Citrobacter freundii	546	S	78	61	139	0.74731
ERQ0682	Klebsiella pneumoniae	573	S	6	18	24	0.12903
ERQ0682	Enterobacter hormaechei	158836	S	5	9	14	0.07527
ERQ0682	Salmonella enterica	28901	S	4	3	7	0.03763
ERQ0217	Citrobacter sp. TSA-1	184912	S	4	5	9	0.05
ERQ0217	Citrobacter sp. RHBSTW-00524	2742653	S	4	7	11	0.06111
ERQ0217	Citrobacter sp. LY-1	2546350	S	4	-2	2	0.01111
ERQ0217	Citrobacter freundii	546	S	17	2	19	0.10556
ERQ0217	Citrobacter freundii complex sp. CFNIH3	2077147	S	8	116	124	0.68889
ERQ0217	Citrobacter braakii	57706	S	4	4	8	0.04444
ERQ0217	Escherichia coli	562	S	4	0	4	0.02222
GCF_000342325	Citrobacter freundii	546	S	20	10	30	1.0
ERQ0689	Citrobacter freundii	546	S	77	91	168	0.84848
