name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
241	Citrobacter freundii	546	S	104	35	139	0.45724
241	Citrobacter amalonaticus	35703	S	7	-1	6	0.01974
241	Enterobacter cloacae	550	S	5	29	34	0.11184
241	Salmonella enterica	28901	S	15	102	117	0.38487
241	Klebsiella pneumoniae	573	S	9	-5	4	0.01316
241	Escherichia coli	562	S	6	-5	1	0.00329
SD_9_A7	Citrobacter youngae	133448	S	8	13	21	0.6
SD_9_A7	Citrobacter sp. FDAARGOS_156	1702170	S	6	7	13	0.37143
Seagull_18_229_S54	Citrobacter sp. FDAARGOS_156	1702170	S	27	3	30	0.52632
Seagull_18_229_S54	Citrobacter freundii	546	S	7	-3	4	0.07018
Seagull_18_229_S54	Citrobacter werkmanii	67827	S	7	-1	6	0.10526
Seagull_18_229_S54	Citrobacter freundii complex sp. CFNIH3	2077147	S	4	11	15	0.26316
Seagull_18_138_2_S33	Citrobacter sp. FDAARGOS_156	1702170	S	18	11	29	1.0
LR699006	Citrobacter freundii	546	S	1	0	1	1.0
224	Citrobacter freundii complex sp. CFNIH3	2077147	S	87	93	180	0.94241
224	Escherichia coli	562	S	5	-3	2	0.01047
224	Salmonella enterica	28901	S	4	3	7	0.03665
SD_10_G6	Enterobacter cloacae	550	S	14	20	34	1.0
233	Citrobacter freundii	546	S	63	20	83	0.54967
233	Citrobacter freundii complex sp. CFNIH4	2077148	S	4	42	46	0.30464
233	Escherichia coli	562	S	6	14	20	0.13245
CP024672	Citrobacter freundii	546	S	1	0	1	1.0
156	Citrobacter freundii	546	S	107	18	125	0.63776
156	Citrobacter freundii complex sp. CFNIH4	2077148	S	5	42	47	0.2398
156	Escherichia coli	562	S	5	17	22	0.11224
CP024819	Citrobacter freundii	546	S	1	0	1	1.0
46	Citrobacter freundii	546	S	195	290	485	0.62824
46	Salmonella enterica	28901	S	5	282	287	0.37176
DB_3_C11	Citrobacter freundii	546	S	86	1	87	0.33333
DB_3_C11	Citrobacter freundii complex sp. CFNIH4	2077148	S	9	66	75	0.28736
