name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
GCF_014901875	5955289	14	425377.79	2839311	1429	504544	135	2098165	2	2098165	2	511128	3
GCF_001281005	5080321	1	5080321.0	5080321	5080321	0	0	5080321	1	5080321	1	5080321	1
GCF_905218895	5197279	3	1732426.33	5066607	38483	0	0	5066607	1	5066607	1	5066607	1
GCF_902166445	5518303	216	25547.7	410483	367	0	0	158551	12	103302	20	25737	38
GCF_016500615	5196744	60	86612.4	959003	579	0	0	514447	4	289124	7	116904	12
GCF_016905765	5437622	279	19489.68	124003	200	0	0	46737	39	26633	71	10604	127
GCF_014856055	4903634	47	104332.64	1163948	648	0	0	652213	3	288104	5	113277	11
GCF_016501665	4700360	17	276491.76	1674650	600	0	0	840952	2	694935	4	178000	6
GCF_013801705	4861768	1	4861768.0	4861768	4861768	0	0	4861768	1	4861768	1	4861768	1
GCF_019660505	5148887	84	61296.27	590817	570	0	0	181995	8	122962	15	63014	25
GCF_010590395	5315068	587	9054.63	532392	200	879	9	219472	8	158480	13	85150	24
GCF_016905675	5413064	245	22094.14	149485	216	0	0	50804	34	29731	63	14511	115
GCF_013925725	5532461	8	691557.62	5087483	2694	100	1	5087483	1	5087483	1	5087483	1
GCF_901456235	5110715	5	1022143.0	4892588	5386	0	0	4892588	1	4892588	1	4892588	1
GCF_018439045	5442038	1157	4703.58	66624	200	0	0	11464	140	7226	259	2513	499
GCF_008931625	5540627	6	923437.83	5088693	3223	0	0	5088693	1	5088693	1	5088693	1
GCF_013724985	4779902	3	1593300.67	4773574	3079	0	0	4773574	1	4773574	1	4773574	1
GCF_020809005	5260876	4	1315219.0	5092352	6874	0	0	5092352	1	5092352	1	5092352	1
GCF_902498925	5224452	142	36791.92	439565	92	0	0	183832	10	128992	17	43075	31
GCF_018919595	5090683	596	8541.41	120988	200	1	1	22300	69	12170	132	4259	268
GCF_014855955	5090719	63	80805.06	718292	544	0	0	397414	5	251614	8	86516	17
GCF_905338045	5355965	8	669495.62	5085387	2195	0	0	5085387	1	5085387	1	5085387	1
GCF_016500575	5129079	43	119280.91	804604	552	0	0	403877	5	200249	8	107265	14
GCF_002151755	5315128	5	1063025.6	3297247	6698	21416	33	3297247	1	1418392	2	335287	3
GCF_013836145	4382172	1	4382172.0	4382172	4382172	0	0	4382172	1	4382172	1	4382172	1
ERQ0166	5315477	662	8029.42	218335	92	0	0	116814	16	55214	30	19188	60
GCF_016892575	4768613	38	125489.82	758403	213	0	0	324808	6	144987	10	74321	18
GCF_013899385	4889497	1	4889497.0	4889497	4889497	0	0	4889497	1	4889497	1	4889497	1
GCF_013725595	5492846	4	1373211.5	5103922	82097	0	0	5103922	1	5103922	1	5103922	1
GCF_005281355	4941213	96	51470.97	405760	202	584	7	117986	12	89474	21	36845	40
GCF_016504815	5231972	34	153881.53	1645179	516	0	0	462450	3	346526	5	131553	11
