ID	Cluster__autocolour
GCF_014901875	1
GCF_001281005	2
GCF_905218895	3
GCF_902166445	4
GCF_016500615	5
GCF_016905765	6
GCF_014856055	7
GCF_016501665	8
GCF_013801705	9
GCF_019660505	10
GCF_010590395	11
GCF_016905675	12
GCF_013925725	13
GCF_901456235	14
GCF_018439045	15
GCF_008931625	16
GCF_013724985	17
GCF_020809005	10
GCF_902498925	18
GCF_018919595	19
GCF_014855955	20
GCF_905338045	21
GCF_016500575	22
GCF_002151755	23
GCF_013836145	24
ERQ0166	25
GCF_016892575	26
GCF_013899385	27
GCF_013725595	28
GCF_005281355	29
GCF_016504815	30
GCF_016859905	31
GCF_000521965	32
GCF_004004805	33
GCF_014803105	34
GCF_013749535	35
GCF_001037585	36
GCF_001721255	37
GCF_008931685	38
GCF_900079795	39
GCF_014803115	40
GCF_900461055	41
GCF_018066565	42
GCF_005281175	43
GCF_003990165	44
GCF_002051555	45
GCF_016905775	6
GCF_016505335	46
GCF_001022155	47
GCF_002192675	48
GCF_014101295	49
GCF_005281025	50
ERQ0156	51
GCF_015965555	52
GCF_014679775	53
GCF_000937505	54
GCF_001880955	55
GCF_018441285	56
GCF_019270335	57
DB_3_C11	58
SD_5_A12	59
GCF_014802805	60
GCF_008370125	61
GCF_002903215	62
ERQ0165	63
GCF_013792365	64
GCF_002863945	65
GCF_003400395	66
GCF_015731115	67
GCF_018421715	68
GCF_002386385	69
GCF_019584005	70
GCF_014333315	71
GCF_002918575	72
GCF_004801125	73
GCF_016500865	74
GCF_016503635	75
GCF_000783445	76
GCF_000018045	77
GCF_004005255	78
GCF_016500885	79
GCF_005281165	80
GCF_015670485	81
GCF_016502045	82
GCF_005281155	83
GCF_009876795	84
GCF_003015305	85
GCF_002417525	86
GCF_011602505	87
GCF_015230995	88
GCF_000277565	89
GCF_016500585	90
GCF_004801105	91
GCF_005960425	92
GCF_004023995	93
GCF_004801115	94
GCF_010319905	95
GCF_002939255	96
GCF_021417205	97
GCF_016509215	98
GCF_014855625	99
GCF_014803025	100
ERQ0683	101
GCF_016503845	102
GCF_000158355	103
GCF_016502215	104
GCF_013745755	105
ERQ0172	106
GCF_001055315	107
GCF_016504035	108
GCF_016500875	109
SD_2_G2	110
GCF_900446905	111
ERQ0682	112
GCF_905219065	113
GCF_013786145	114
GCF_002918495	115
GCF_013798355	116
GCF_010119415	117
ERQ0044	118
GCF_016501465	81
GCF_014803275	120
GCF_002918465	115
GCF_018443005	15
GCF_018441725	121
GCF_015730635	122
GCF_014931625	123
GCF_015234875	124
GCF_013815045	125
GCF_019656375	126
GCF_014103655	127
GCF_003471655	128
GCF_005217825	129
GCF_016503915	130
GCF_001317155	131
GCF_013797615	132
GCF_013826265	133
GCF_014803265	134
GCF_016501025	135
GCF_002918555	136
GCF_021373375	137
GCF_016500795	138
GCF_016505625	139
GCF_014855915	7
GCF_015674715	140
GCF_018342065	141
GCF_021533375	142
GCF_900449345	143
GCF_016505395	144
GCF_016505485	145
GCF_020099335	146
ERQ0243	147
GCF_014103475	13
GCF_015230755	148
GCF_016504865	149
GCF_018106225	150
GCF_016859695	151
GCF_001482575	152
GCF_001297795	153
GCF_009876695	84
GCF_009664045	154
GCF_016504115	155
GCF_013612875	156
GCF_018423095	157
GCF_003255895	158
GCF_001034485	159
GCF_015674155	160
GCF_016504735	161
GCF_016502055	162
SG18_265_S115	163
GCF_013741395	164
GCF_000027085	52
GCF_008364715	165
GCF_014902035	166
GCF_902381795	167
GCF_013890155	168
GCF_016893745	169
GCF_901456255	170
GCF_016504365	171
GCF_018106145	150
GCF_015231155	148
GCF_014104005	172
GCF_900446875	173
GCF_902373845	174
GCF_004353845	175
GCF_013746155	132
GCF_001880845	176
GCF_002919455	115
GCF_014855525	177
GCF_013816515	178
GCF_016502265	179
GCF_001922445	180
GCF_013784645	181
SD_9_H6	182
GCF_016859715	151
GCF_015558715	183
GCF_001034465	184
GCF_013899325	185
GCF_002947675	81
GCF_001413195	186
GCF_014230155	187
GCF_001057215	107
ERQ0222	188
GCF_013725165	189
GCF_001880775	190
GCF_017151575	191
GCF_013390245	192
GCF_016501745	193
GCF_013794885	13
GCF_900638065	194
GCF_018420455	195
GCF_016502165	196
GCF_001413255	186
GCF_902387635	197
GCF_013747755	198
GCF_902807235	199
GCF_019502645	200
GCF_000783755	201
ERQ0233	202
GCF_016894085	203
GCF_019800295	204
GCF_014104235	205
GCF_013741155	206
GCF_900460975	207
GCF_015230675	148
GCF_005280845	208
GCF_014803045	209
GCF_902387995	210
GCF_009876815	84
GCF_015549445	211
GCF_018447685	212
GCF_014803335	213
GCF_905329885	214
GCF_019448455	215
GCF_020889125	216
GCF_000759815	52
GCF_001558935	217
GCF_016939615	218
