Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
DB_3_C11	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1156	11	4	0	0	99.90	2.44	17.39
DB_3_D1	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1140	25	4	1	0	99.79	3.71	41.86
DB_3_D2	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1152	15	4	0	0	99.90	2.74	14.81
DB_3_F10	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1139	30	2	0	0	99.90	3.30	72.22
DB_5_F12	f__Enterobacteriaceae (UID5124)	134	1172	336	5	1150	14	3	0	0	99.60	2.34	21.74
ERQ0043	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1169	3	0	0	0	100.00	0.41	0.00
ERQ0044	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1158	12	1	0	0	99.95	1.76	13.33
ERQ0045	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1169	3	0	0	0	100.00	0.41	0.00
ERQ0046	f__Enterobacteriaceae (UID5124)	134	1172	336	12	1141	18	0	1	0	98.91	2.78	4.17
ERQ0152	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1155	14	1	0	0	99.87	1.54	11.76
ERQ0154	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1155	14	1	0	0	99.87	1.54	11.76
ERQ0155	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1153	15	1	0	0	99.07	1.72	5.56
ERQ0156	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1151	19	1	0	0	99.90	1.85	9.09
ERQ0159	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1154	17	0	1	0	99.97	2.16	4.35
ERQ0160	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1146	23	0	0	1	99.37	3.29	33.33
ERQ0161	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1165	6	1	0	0	100.00	0.44	0.00
ERQ0162	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1153	18	0	1	0	99.97	2.43	4.17
ERQ0165	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1155	15	1	0	0	99.87	1.72	5.56
ERQ0166	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1153	18	0	1	0	99.97	2.43	4.17
ERQ0169	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1166	6	0	0	0	99.97	0.40	0.00
ERQ0172	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1152	18	0	1	0	99.87	2.79	4.17
ERQ0173	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1154	16	1	0	0	99.97	2.11	10.53
ERQ0175	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1159	12	0	0	0	99.90	1.56	8.33
ERQ0183	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1166	3	0	1	0	99.57	1.00	0.00
ERQ0186	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1164	7	0	0	0	99.97	0.84	0.00
ERQ0189	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	15	1	0	0	99.90	1.62	11.11
ERQ0192	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1156	13	0	0	1	99.37	2.06	8.70
ERQ0199	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1153	18	0	1	0	99.97	2.43	4.17
ERQ0200	f__Enterobacteriaceae (UID5124)	134	1172	336	5	1150	16	1	0	0	99.60	1.61	10.53
ERQ0211	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1152	19	0	1	0	99.97	2.48	4.00
ERQ0212	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1164	6	0	0	1	99.90	1.84	0.00
ERQ0213	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1154	17	1	0	0	99.97	2.12	5.00
ERQ0216	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1156	15	1	0	0	99.97	1.72	5.56
ERQ0217	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1160	11	1	0	0	99.97	1.74	7.14
ERQ0222	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1157	13	0	0	1	99.67	2.06	8.70
ERQ0224	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1153	18	0	1	0	99.97	2.43	4.17
ERQ0225	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1158	13	1	0	0	100.00	1.90	12.50
ERQ0227	f__Enterobacteriaceae (UID5124)	134	1172	336	3	1153	15	1	0	0	99.63	2.02	11.11
ERQ0230	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1162	9	0	0	0	99.90	0.78	0.00
ERQ0233	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1159	12	1	0	0	100.00	1.70	13.33
ERQ0241	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1152	15	4	0	0	99.96	1.59	25.93
ERQ0243	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1156	13	1	0	0	99.87	1.47	12.50
ERQ0246	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1154	17	0	1	0	99.97	2.16	4.35
ERQ0250	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1161	10	0	0	0	99.90	0.56	0.00
ERQ0251	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1156	15	1	0	0	99.97	1.72	5.56
ERQ0255	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1151	19	1	0	0	99.90	1.85	9.09
ERQ0259	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1156	13	1	0	0	99.80	1.51	12.50
ERQ0278	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1162	9	0	0	0	99.90	0.49	0.00
ERQ0310	f__Enterobacteriaceae (UID5124)	134	1172	336	5	1164	3	0	0	0	99.60	0.12	0.00
ERQ0572	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1154	14	2	1	0	99.92	2.02	11.54
ERQ0671	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1160	11	1	0	0	99.97	1.74	7.14
ERQ0672	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1149	18	3	1	0	99.67	2.48	3.03
ERQ0674	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1149	18	2	2	0	99.67	2.78	5.56
ERQ0677	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1149	18	2	2	0	99.67	2.78	5.56
ERQ0678	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1157	14	1	0	0	100.00	1.83	11.76
ERQ0681	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1157	14	1	0	0	100.00	1.83	11.76
ERQ0682	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1157	14	1	0	0	100.00	1.83	11.76
ERQ0683	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1156	14	1	0	0	99.85	1.56	5.88
ERQ0685	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1158	13	1	0	0	100.00	1.53	12.50
ERQ0689	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1157	14	1	0	0	100.00	1.83	11.76
GCF_000018045	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1158	13	0	0	0	99.88	0.98	0.00
GCF_000027085	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1168	3	0	0	0	99.91	0.13	0.00
GCF_000155975	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1169	2	0	0	0	99.87	0.07	0.00
GCF_000158355	f__Enterobacteriaceae (UID5124)	134	1173	336	24	1140	9	0	0	0	97.88	0.63	0.00
GCF_000208765	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1157	12	0	0	0	99.67	0.81	16.67
GCF_000238735	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1166	4	0	0	0	99.57	0.55	0.00
GCF_000277565	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1171	1	0	0	0	100.00	0.04	0.00
GCF_000312465	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1153	18	0	0	0	99.90	1.44	0.00
GCF_000313895	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1171	1	0	0	0	100.00	0.04	0.00
GCF_000342325	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1166	6	0	0	0	100.00	0.26	0.00
GCF_000388155	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1166	3	3	0	0	100.00	0.60	25.00
GCF_000398825	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1169	2	0	0	0	99.90	0.19	0.00
GCF_000398845	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1161	10	1	0	0	99.97	0.78	7.69
GCF_000398865	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1165	7	0	0	0	99.97	0.42	0.00
GCF_000521945	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1170	2	0	0	0	99.97	0.35	0.00
GCF_000521965	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1155	16	1	0	0	100.00	1.66	0.00
GCF_000582615	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1167	4	0	0	0	99.90	0.54	0.00
GCF_000648515	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1162	8	1	0	0	99.87	0.72	18.18
GCF_000692115	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1158	12	1	0	0	99.40	1.28	0.00
GCF_000692135	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
GCF_000714305	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1159	7	2	2	0	99.87	2.18	84.00
GCF_000731055	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1162	10	0	0	0	99.97	0.80	10.00
GCF_000734905	f__Enterobacteriaceae (UID5124)	134	1172	336	3	1164	5	0	0	0	99.73	0.61	0.00
GCF_000739675	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1160	9	0	0	0	99.49	0.36	0.00
GCF_000759735	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1167	4	0	0	0	99.90	0.50	0.00
GCF_000759815	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1168	3	0	0	0	99.91	0.13	0.00
GCF_000759835	f__Enterobacteriaceae (UID5124)	134	1173	336	0	1171	2	0	0	0	100.00	0.08	0.00
GCF_000764735	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.25	20.00
GCF_000783445	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1165	5	0	0	0	99.84	0.30	0.00
GCF_000783755	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1152	19	1	0	0	100.00	1.85	0.00
GCF_000783995	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1165	6	0	0	0	99.40	0.49	0.00
GCF_000786265	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1162	9	1	0	0	99.97	0.66	8.33
GCF_000786275	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1164	8	0	0	0	99.97	0.46	0.00
GCF_000809165	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	2	1	0	0	99.97	0.18	20.00
GCF_000826205	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1166	4	0	0	0	99.52	0.32	0.00
GCF_000835925	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1149	22	0	0	0	99.91	1.58	77.27
GCF_000936345	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1086	64	17	2	0	99.63	6.13	89.76
GCF_000937455	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1166	5	0	1	0	100.00	0.44	0.00
GCF_000937505	k__Bacteria (UID203)	5449	104	58	0	81	23	0	0	0	100.00	5.17	100.00
GCF_000972645	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1161	9	0	0	0	99.11	0.44	0.00
GCF_000981805	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1157	14	0	0	0	99.94	1.03	0.00
GCF_000982845	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1168	3	0	0	0	99.90	0.48	0.00
GCF_001022155	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1166	6	0	0	0	100.00	0.39	0.00
GCF_001022275	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1165	7	0	0	0	100.00	0.41	0.00
GCF_001022685	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1162	9	1	0	0	99.97	0.75	0.00
GCF_001034445	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1166	5	0	0	0	99.70	0.22	0.00
GCF_001034465	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1161	9	0	0	0	99.55	0.99	0.00
GCF_001034475	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1164	8	0	0	0	100.00	0.75	0.00
GCF_001034485	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1169	3	0	0	0	100.00	0.41	0.00
GCF_001037485	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1163	6	2	0	0	99.87	1.78	8.33
GCF_001037495	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1162	9	0	0	0	99.64	0.64	0.00
GCF_001037505	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1151	18	1	0	0	99.67	1.86	14.29
GCF_001037515	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1166	6	0	0	0	99.97	0.57	0.00
GCF_001037575	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1160	11	0	0	0	99.90	1.65	0.00
GCF_001037585	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1158	12	0	0	1	99.87	2.02	40.91
GCF_001055295	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1164	7	0	0	0	99.90	0.51	0.00
GCF_001055315	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1164	7	0	0	0	99.90	0.51	0.00
GCF_001057215	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1164	7	0	0	0	99.90	0.51	0.00
GCF_001057775	f__Enterobacteriaceae (UID5124)	134	1173	336	11	1148	14	0	0	0	98.37	1.02	21.43
GCF_001058505	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1156	15	1	0	0	100.00	1.15	5.56
GCF_001058675	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1158	13	0	0	0	99.90	0.65	7.69
GCF_001059255	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1159	12	0	0	0	99.90	0.51	8.33
GCF_001059745	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1159	12	0	0	0	99.94	1.00	16.67
GCF_001062165	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1162	10	0	0	0	99.97	0.82	0.00
GCF_001065805	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1160	11	0	0	0	99.82	0.79	0.00
GCF_001067775	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1165	7	0	0	0	99.97	0.70	14.29
GCF_001273815	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1152	18	1	0	0	99.82	1.68	9.52
GCF_001276105	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
GCF_001276125	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
GCF_001281005	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1169	2	0	0	0	99.87	0.20	0.00
