name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
DB_3_C11	5353585	285	18784.51	317812	112	0	0	123405	16	62504	27	17274	58
DB_3_D1	5523524	696	7936.10	186126	112	0	0	36051	47	20119	87	8451	169
DB_3_D2	5430454	329	16505.94	291503	112	0	0	130702	15	58646	27	15415	60
DB_3_F10	5546007	620	8945.17	167080	112	0	0	37765	43	25266	79	8909	149
DB_5_F12	5472810	324	16891.39	301020	112	0	0	141010	15	69216	26	17502	57
ERQ0043	5148839	101	50978.60	380865	112	0	0	158573	12	113668	20	58171	32
ERQ0044	5400345	244	22132.56	576697	112	0	0	94662	17	64749	30	21732	57
ERQ0045	5147481	96	53619.59	380865	112	0	0	184768	10	119023	16	72258	27
ERQ0046	5524491	946	5839.84	161057	112	0	0	44515	42	26578	74	11191	136
ERQ0152	5374368	292	18405.37	297513	112	0	0	78578	21	54461	37	22421	68
ERQ0154	5371939	265	20271.47	297509	112	0	0	93334	18	64264	32	23919	60
ERQ0155	5234125	216	24232.06	324367	112	0	0	89377	16	53156	30	28209	55
ERQ0156	5293138	208	25447.78	232798	112	0	0	73861	22	52850	39	18238	68
ERQ0159	5238662	203	25806.22	384174	112	0	0	159484	11	82247	20	30104	44
ERQ0160	5252620	315	16674.98	273527	112	0	0	116559	17	56299	31	18562	63
ERQ0161	5173717	57	90766.96	691942	116	0	0	378313	5	305459	8	103449	15
ERQ0162	5265461	200	26327.31	296988	112	0	0	135051	14	55253	27	19229	56
ERQ0165	5379254	231	23286.81	238266	112	0	0	108558	17	63121	30	20397	59
ERQ0166	5315477	662	8029.42	218335	92	0	0	116814	16	55214	30	19188	60
ERQ0169	5107990	111	46017.93	653999	112	0	0	180561	10	123485	16	50680	29
ERQ0172	5675460	127	44688.66	647393	112	0	0	230911	8	118011	16	50894	30
ERQ0173	5493197	191	28760.19	355112	112	0	0	123073	13	82515	25	26290	46
ERQ0175	5438501	294	18498.30	420098	112	0	0	86371	19	47177	36	16435	75
ERQ0183	5225256	509	10265.73	262383	112	0	0	132981	15	75706	25	30944	47
ERQ0186	5200125	136	38236.21	344572	118	0	0	173587	11	87998	20	34000	37
ERQ0189	5206110	169	30805.38	232798	121	0	0	86949	21	57804	36	28180	60
ERQ0192	5239571	310	16901.84	338245	112	0	0	100020	16	54610	30	19064	62
ERQ0199	5302382	299	17733.72	296988	112	0	0	131841	15	56408	27	19936	55
ERQ0200	5325132	153	34804.78	378801	113	0	0	122789	15	69589	26	26225	50
ERQ0211	5287620	204	25919.71	297210	112	0	0	134038	15	55600	27	21120	55
ERQ0212	5446852	158	34473.75	314068	112	0	0	134354	13	77433	25	32202	44
ERQ0213	5569007	229	24318.81	384174	112	0	0	121567	14	56408	29	21917	58
ERQ0216	5226625	173	30211.71	384174	112	0	0	172770	10	78311	21	31489	42
ERQ0217	5233832	187	27988.41	284979	112	0	0	122445	15	73996	26	29581	49
ERQ0222	5289791	257	20582.84	327408	112	0	0	110062	17	58248	31	18541	63
ERQ0224	5285274	199	26559.17	296988	112	0	0	93407	17	55600	32	19936	60
ERQ0225	5485533	147	37316.55	556534	93	0	0	148238	10	82157	20	36501	39
ERQ0227	5390120	190	28369.05	452458	114	0	0	151290	13	84191	21	26352	44
ERQ0230	5228821	90	58098.01	609515	112	0	0	440425	5	150620	11	84882	19
ERQ0233	5314394	158	33635.41	413062	112	0	0	139281	13	84390	22	32249	41
ERQ0241	5840132	321	18193.56	240756	92	0	0	92903	21	66365	36	19899	68
ERQ0243	5439070	259	21000.27	297316	112	0	0	80533	20	51386	37	21289	69
ERQ0246	5270536	177	29777.04	292315	112	0	0	159484	12	68722	23	29574	46
ERQ0250	5265533	107	49210.59	454311	121	0	0	153700	10	89191	20	63146	33
ERQ0251	5239957	201	26069.44	259499	112	0	0	86039	17	53150	32	23349	59
ERQ0255	5358020	200	26790.10	232910	113	0	0	85150	22	52850	39	22424	67
ERQ0259	5572574	186	29960.08	396918	112	0	0	165846	11	87754	20	31884	42
ERQ0278	5062237	202	25060.58	232910	114	0	0	86949	21	57840	35	30882	58
ERQ0310	5112546	231	22132.23	197085	112	0	0	73706	22	45619	41	19696	70
ERQ0572	5609986	180	31166.59	463510	113	0	0	208963	10	110602	17	32316	34
ERQ0671	5275022	511	10322.94	284979	112	0	0	136232	15	74001	26	29533	49
ERQ0672	5878734	197	29841.29	393176	112	0	0	115762	14	68038	27	31987	51
ERQ0674	5942985	196	30321.35	693491	112	0	0	115762	13	66051	27	34537	51
ERQ0677	5874759	173	33958.14	693602	112	0	0	124186	13	73282	25	30327	50
ERQ0678	5613007	448	12529.03	494372	112	0	0	188011	11	108165	19	26320	39
ERQ0681	5620765	380	14791.49	494259	112	0	0	156413	12	97046	21	32068	40
ERQ0682	5531919	187	29582.45	391931	112	0	0	168990	12	109486	20	33901	36
ERQ0683	5546110	599	9258.95	233786	112	0	0	114708	18	73614	29	24589	53
ERQ0685	5649333	195	28970.94	494372	112	0	0	166008	11	112136	19	32019	38
ERQ0689	5569903	206	27038.36	494255	112	0	0	152240	12	85974	21	32338	41
GCF_000018045	4735357	3	1578452.33	4720462	5601	0	0	4720462	1	4720462	1	4720462	1
GCF_000155975	5154159	10	515415.90	2724488	1555	3900	39	2724488	1	499154	3	423041	5
GCF_000158355	5023211	9	558134.56	1661513	85854	2100	21	770620	3	511277	4	400500	6
GCF_000238735	5122674	11	465697.64	2632249	1880	2500	25	2632249	1	553925	3	155804	6
GCF_000342325	4899578	31	158050.90	773993	236	0	0	370883	5	316321	7	144630	12
GCF_000388155	5053892	79	63973.32	506286	216	0	0	240358	8	144752	14	52931	24
GCF_000521945	4947895	4	1236973.75	3384993	87153	6553	11	3384993	1	1295238	2	1295238	2
GCF_000521965	5269965	2	2634982.50	4981099	288866	11672	10	4981099	1	4981099	1	4981099	1
GCF_000582615	4907888	68	72174.82	364987	227	0	0	158049	9	125466	16	55975	27
GCF_000692115	5829086	18	323838.11	4144012	1098	95056	42	4144012	1	4144012	1	477591	3
GCF_000731055	5273145	110	47937.68	489429	419	0	0	115086	15	72930	26	34159	47
GCF_000734905	4899643	129	37981.73	260953	208	0	0	76371	21	51520	36	18837	67
GCF_000764735	4929495	31	159015.97	595927	632	0	0	240293	6	209613	11	98192	17
GCF_000783445	4727261	1	4727261.00	4727261	4727261	0	0	4727261	1	4727261	1	4727261	1
