name	pMLST_scheme	pMLST
ERQ0241	IncA/C PMLST	3
ERQ0672	IncA/C PMLST	3
ERQ0674	IncA/C PMLST	3
ERQ0677	IncA/C PMLST	3
GCF_000692115	IncA/C PMLST	1
GCF_000937455	IncA/C PMLST	3
GCF_000937505	IncA/C PMLST	1
GCF_001718055	IncA/C PMLST	3
GCF_002863945	IncA/C PMLST	1
GCF_002864025	IncA/C PMLST	1
GCF_002918835	IncA/C PMLST	3
GCF_002918855	IncA/C PMLST	3
GCF_002934505	IncA/C PMLST	3
DB_3_C11	IncF RST	F-:A-:B-
DB_3_D1	IncF RST	F-:A-:B-
DB_3_D2	IncF RST	F-:A-:B-
DB_3_F10	IncF RST	F-:A-:B-
DB_5_F12	IncF RST	F-:A-:B-
ERQ0043	IncF RST	F-:A-:B-
ERQ0044	IncF RST	F-:A-:B-
ERQ0045	IncF RST	F-:A-:B-
ERQ0046	IncF RST	F-:A-:B-
ERQ0152	IncF RST	F-:A-:B-
ERQ0154	IncF RST	F-:A-:B-
ERQ0155	IncF RST	F-:A-:B70
ERQ0156	IncF RST	F-:A-:B-
ERQ0159	IncF RST	F-:A-:B70
ERQ0160	IncF RST	F-:A-:B-
ERQ0161	IncF RST	F-:A-:B-
ERQ0162	IncF RST	F-:A-:B-
ERQ0165	IncF RST	F-:A-:B70
ERQ0166	IncF RST	F-:A-:B-
ERQ0169	IncF RST	F-:A-:B-
ERQ0172	IncF RST	F-:A-:B-
ERQ0173	IncF RST	F-:A-:B-
ERQ0175	IncF RST	Y3:A10:B70
ERQ0183	IncF RST	F-:A-:B-
ERQ0186	IncF RST	F-:A-:B-
ERQ0189	IncF RST	F-:A-:B-
ERQ0192	IncF RST	F-:A-:B-
ERQ0199	IncF RST	F-:A-:B-
ERQ0200	IncF RST	F-:A-:B-
ERQ0211	IncF RST	F-:A-:B-
ERQ0212	IncF RST	Y3:A-:B-
ERQ0213	IncF RST	F-:A-:B70
ERQ0216	IncF RST	F-:A-:B70
ERQ0217	IncF RST	F-:A-:B70
ERQ0222	IncF RST	F-:A-:B-
ERQ0224	IncF RST	F-:A-:B-
ERQ0225	IncF RST	F-:A-:B-
ERQ0227	IncF RST	F-:A-:B-
ERQ0230	IncF RST	F-:A-:B-
ERQ0233	IncF RST	F-:A-:B-
ERQ0241	IncF RST	K14:A-:B-
ERQ0243	IncF RST	F-:A-:B-
ERQ0246	IncF RST	F-:A-:B70
ERQ0250	IncF RST	F-:A-:B-
ERQ0251	IncF RST	F-:A-:B70
ERQ0255	IncF RST	F-:A-:B-
ERQ0259	IncF RST	F-:A-:B-
