name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
GCF_902387635	100.00	1	0	S	546	                  Citrobacter freundii
GCF_005406305	100.00	1	1	S	2576406	                  Citrobacter sp. TBCP-5362
GCF_003665655	100.00	1	0	S	546	                  Citrobacter freundii
GCF_003665635	100.00	1	0	S	546	                  Citrobacter freundii
GCF_003665615	100.00	3	2	S	546	                  Citrobacter freundii
GCF_003665595	100.00	1	0	S	546	                  Citrobacter freundii
GCF_003665535	100.00	2	1	S	546	                  Citrobacter freundii
GCF_003255895	100.00	1	1	S	133448	                  Citrobacter youngae
GCF_003019835	100.00	1	0	S	546	                  Citrobacter freundii
GCF_002947035	100.00	3	2	S	545	                Citrobacter koseri
GCF_002946635	100.00	1	0	S	546	                  Citrobacter freundii
GCF_002934505	100.00	4	4	S	2077148	                  Citrobacter freundii complex sp. CFNIH4
GCF_002903305	100.00	5	5	S	2077149	                  Citrobacter freundii complex sp. CFNIH9
GCF_002903215	100.00	3	3	S	2077147	                  Citrobacter freundii complex sp. CFNIH3
GCF_002796505	100.00	2	1	S	546	                  Citrobacter freundii
GCF_002796485	100.00	1	0	S	546	                  Citrobacter freundii
GCF_002208845	100.00	1	1	S	57706	                  Citrobacter braakii
GCF_002073755	100.00	1	1	S	57706	                  Citrobacter braakii
GCF_001718055	100.00	3	2	S	546	                  Citrobacter freundii
GCF_001559075	100.00	1	0	S	35703	                Citrobacter amalonaticus
GCF_001558935	100.00	2	1	S	35703	                Citrobacter amalonaticus
GCF_001471655	100.00	1	0	S	35703	                Citrobacter amalonaticus
GCF_001281005	100.00	1	1	S	1639133	                  Citrobacter portucalensis
GCF_000981805	100.00	2	0	S	35703	                Citrobacter amalonaticus
GCF_000783995	100.00	1	0	S	546	                  Citrobacter freundii
GCF_000783755	100.00	3	2	S	546	                  Citrobacter freundii
GCF_000783445	100.00	1	0	S	545	                Citrobacter koseri
GCF_000521965	100.00	2	1	S	546	                  Citrobacter freundii
GCF_000521945	100.00	4	4	S	1639133	                  Citrobacter portucalensis
GCF_000158355	100.00	9	3	S	546	                  Citrobacter freundii
GCF_000734905	 92.25	119	4	S	546	                  Citrobacter freundii
GCF_001022155	 90.00	9	8	S	546	                  Citrobacter freundii
GCF_000982845	 89.47	17	13	S	546	                  Citrobacter freundii
GCF_000764735	 87.10	27	27	S	67824	                Citrobacter farmeri
GCF_001022275	 85.71	6	5	S	546	                  Citrobacter freundii
GCF_000238735	 81.82	9	9	S	1639133	                  Citrobacter portucalensis
GCF_000582615	 80.88	55	3	S	546	                  Citrobacter freundii
GCF_000835925	 80.33	290	0	S	67825	                Citrobacter rodentium
GCF_002185305	 79.49	31	31	S	67827	                  Citrobacter werkmanii
GCF_005281125	 79.31	23	23	S	67827	                  Citrobacter werkmanii
GCF_002918505	 78.79	26	26	S	2546350	                  Citrobacter sp. LY-1
GCF_003175795	 78.57	77	70	S	546	                  Citrobacter freundii
GCF_005281195	 77.78	70	67	S	546	                  Citrobacter freundii
GCF_001546285	 75.00	18	12	S	546	                  Citrobacter freundii
GCF_005281255	 74.42	32	32	S	67827	                  Citrobacter werkmanii
GCF_002843195	 73.47	36	27	S	546	                  Citrobacter freundii
GCF_001546305	 73.02	46	44	S	545	                Citrobacter koseri
ERQ0250	 72.90	78	72	S	546	                  Citrobacter freundii
GCF_002042885	 72.50	29	19	S	546	                  Citrobacter freundii
GCF_900080005	 67.92	36	26	S	546	                  Citrobacter freundii
GCF_008931505	 66.67	2	1	S	546	                  Citrobacter freundii
GCF_008931485	 66.67	2	1	S	546	                  Citrobacter freundii
GCF_000018045	 66.67	2	1	S	545	                Citrobacter koseri
GCF_002863965	 65.62	21	20	S	545	                Citrobacter koseri
GCF_002939255	 64.89	61	61	S	2683822	                  Citrobacter sp. 172116965
GCF_002871775	 64.71	22	12	S	546	                  Citrobacter freundii
GCF_000342325	 64.52	20	3	S	546	                  Citrobacter freundii
GCF_005280935	 64.44	58	48	S	546	                  Citrobacter freundii
GCF_001552875	 64.44	29	27	S	545	                Citrobacter koseri
GCF_005281055	 63.86	53	53	S	67827	                  Citrobacter werkmanii
GCF_005281355	 63.54	61	61	S	67827	                  Citrobacter werkmanii
ERQ0043	 63.37	64	55	S	546	                  Citrobacter freundii
GCF_003015305	 63.33	19	5	S	546	                  Citrobacter freundii
GCF_005281115	 62.82	49	49	S	67827	                  Citrobacter werkmanii
GCF_005280955	 62.50	35	35	S	67827	                  Citrobacter werkmanii
ERQ0189	 60.95	103	95	S	546	                  Citrobacter freundii
GCF_000826205	 60.71	34	14	S	546	                  Citrobacter freundii
ERQ0230	 60.00	54	48	S	546	                  Citrobacter freundii
ERQ0200	 59.48	91	61	S	546	                  Citrobacter freundii
ERQ0186	 58.82	80	73	S	546	                  Citrobacter freundii
ERQ0255	 58.00	116	108	S	546	                  Citrobacter freundii
ERQ0156	 57.21	119	111	S	546	                  Citrobacter freundii
ERQ0310	 57.14	132	124	S	546	                  Citrobacter freundii
GCF_005280825	 56.91	70	67	S	546	                  Citrobacter freundii
ERQ0045	 56.25	54	47	S	546	                  Citrobacter freundii
DB_3_F10	 56.13	348	313	S	546	                  Citrobacter freundii
GCF_002919825	 56.00	70	61	S	546	                  Citrobacter freundii
GCF_900079995	 55.56	20	10	S	546	                  Citrobacter freundii
ERQ0044	 55.33	135	135	S	2077149	                  Citrobacter freundii complex sp. CFNIH9
ERQ0212	 54.43	86	73	S	546	                  Citrobacter freundii
SD_9_C7	 54.00	27	21	S	546	                  Citrobacter freundii
ERQ0278	 53.96	109	101	S	546	                  Citrobacter freundii
GCF_000388155	 53.16	42	37	S	546	                  Citrobacter freundii
GCF_005281015	 53.15	76	58	S	546	                  Citrobacter freundii
GCF_002918875	 50.72	70	66	S	546	                  Citrobacter freundii
GCF_002919795	 50.62	81	81	S	2077147	                  Citrobacter freundii complex sp. CFNIH3
SG18_229_S54	 50.00	31	15	S	546	                  Citrobacter freundii
GCF_014332855	 50.00	25	7	S	546	                  Citrobacter freundii
GCF_008931685	 50.00	3	2	S	546	                  Citrobacter freundii
GCF_002947675	 50.00	1	1	S	573	                Klebsiella pneumoniae
GCF_002918555	 50.00	8	8	S	2742624	                  Citrobacter sp. RHB25-C09
GCF_002880615	 50.00	1	1	S	573	                Klebsiella pneumoniae
GCF_002786865	 50.00	1	1	S	573	                Klebsiella pneumoniae
GCF_002208985	 50.00	1	1	S	573	                Klebsiella pneumoniae
GCF_000155975	 50.00	5	5	S	67827	                  Citrobacter werkmanii
GCF_005280815	 47.28	148	49	S	1358	                  Lactococcus lactis
ERQ0233	 46.20	73	49	S	546	                  Citrobacter freundii
ERQ0173	 46.07	88	81	S	546	                  Citrobacter freundii
GCF_005280875	 45.95	17	17	S	1702170	                  Citrobacter sp. FDAARGOS_156
GCF_000731055	 45.45	50	21	S	35703	                Citrobacter amalonaticus
ERQ0227	 45.26	86	64	S	546	                  Citrobacter freundii
GCF_005281025	 45.13	51	51	S	67827	                  Citrobacter werkmanii
ERQ0243	 44.40	115	106	S	546	                  Citrobacter freundii
ERQ0225	 44.22	65	53	S	546	                  Citrobacter freundii
ERQ0259	 44.09	82	68	S	546	                  Citrobacter freundii
ERQ0161	 43.86	25	19	S	546	                  Citrobacter freundii
ERQ0241	 43.61	140	135	S	546	                  Citrobacter freundii
DB_3_D1	 43.39	302	285	S	546	                  Citrobacter freundii
GCF_005281175	 43.18	19	19	S	1563222	                Citrobacter pasteurii
ERQ0154	 42.64	113	103	S	546	                  Citrobacter freundii
GCF_002918865	 42.50	17	13	S	546	                  Citrobacter freundii
SG18_223_S110	 41.94	13	13	S	1563222	                Citrobacter pasteurii
ERQ0682	 41.71	78	68	S	546	                  Citrobacter freundii
GCF_005280855	 41.18	35	35	S	1702170	                  Citrobacter sp. FDAARGOS_156
GCF_001276125	 41.03	16	5	S	35703	                Citrobacter amalonaticus
GCF_014333035	 40.74	44	20	S	35703	                Citrobacter amalonaticus
GCF_001276105	 40.43	19	6	S	35703	                Citrobacter amalonaticus
ERQ0152	 40.41	118	108	S	546	                  Citrobacter freundii
SG18_265_S115	 40.35	23	22	S	546	                  Citrobacter freundii
GCF_002864025	 40.00	28	24	S	546	                  Citrobacter freundii
SG18_8_S1	 39.47	15	14	S	546	                  Citrobacter freundii
GCF_014332835	 39.06	25	7	S	546	                  Citrobacter freundii
GCF_002918855	 38.98	46	46	S	2077148	                  Citrobacter freundii complex sp. CFNIH4
GCF_000692115	 38.89	7	4	S	546	                  Citrobacter freundii
ERQ0175	 38.10	112	101	S	546	                  Citrobacter freundii
ERQ0685	 37.95	74	64	S	546	                  Citrobacter freundii
SG18_227_S53	 37.84	14	14	S	1702170	                  Citrobacter sp. FDAARGOS_156
SD_5_D4	 37.78	17	12	S	546	                  Citrobacter freundii
