snp-dists 0.6.3,DB_3_D1,DB_3_F10,ERQ0043,ERQ0044,ERQ0045,ERQ0152,ERQ0154,ERQ0155,ERQ0156,ERQ0159,ERQ0160,ERQ0161,ERQ0162,ERQ0165,ERQ0169,ERQ0173,ERQ0186,ERQ0189,ERQ0192,ERQ0199,ERQ0200,ERQ0211,ERQ0212,ERQ0213,ERQ0216,ERQ0217,ERQ0222,ERQ0224,ERQ0225,ERQ0227,ERQ0230,ERQ0233,ERQ0241,ERQ0243,ERQ0246,ERQ0250,ERQ0251,ERQ0255,ERQ0259,ERQ0278,ERQ0310,ERQ0572,ERQ0672,ERQ0678,ERQ0681,ERQ0682,ERQ0685,ERQ0689,GCF_000018045,GCF_000155975,GCF_000158355,GCF_000238735,GCF_000342325,GCF_000388155,GCF_000521945,GCF_000521965,GCF_000582615,GCF_000692115,GCF_000731055,GCF_000734905,GCF_000764735,GCF_000783445,GCF_000783755,GCF_000783995,GCF_000786265,GCF_000786275,GCF_000826205,GCF_000835925,GCF_000937455,GCF_000937505,GCF_000972645,GCF_000981805,GCF_000982845,GCF_001022155,GCF_001022275,GCF_001276105,GCF_001276125,GCF_001281005,GCF_001471655,GCF_001546285,GCF_001546305,GCF_001552875,GCF_001558935,GCF_001559075,GCF_001718055,GCF_002042885,GCF_002073755,GCF_002114305,GCF_002151695,GCF_002185305,GCF_002208845,GCF_002208985,GCF_002786865,GCF_002796485,GCF_002796505,GCF_002843195,GCF_002863965,GCF_002871775,GCF_002880615,GCF_002903215,GCF_002903305,GCF_002918455,GCF_002918465,GCF_002918495,GCF_002918505,GCF_002918555,GCF_002918575,GCF_002918835,GCF_002918855,GCF_002918865,GCF_002918875,GCF_002918935,GCF_002919425,GCF_002919455,GCF_002919485,GCF_002919795,GCF_002919825,GCF_002923765,GCF_002934505,GCF_002939255,GCF_002946635,GCF_002947035,GCF_002947675,GCF_003015305,GCF_003019835,GCF_003175795,GCF_003184045,GCF_003226155,GCF_003255895,GCF_003665535,GCF_003665595,GCF_003665615,GCF_003665635,GCF_003665655,GCF_004322975,GCF_005280805,GCF_005280825,GCF_005280855,GCF_005280875,GCF_005280915,GCF_005280935,GCF_005280955,GCF_005280975,GCF_005281015,GCF_005281025,GCF_005281055,GCF_005281115,GCF_005281125,GCF_005281155,GCF_005281165,GCF_005281175,GCF_005281195,GCF_005281245,GCF_005281255,GCF_005281325,GCF_005281355,GCF_005406305,GCF_008931685,GCF_014332945,GCF_014333035,GCF_900079995,GCF_900080005,GCF_902387635,SD_2_G2,SD_5_A12,SD_5_D4,SD_9_A7,SD_9_B7,SD_9_C7,SD_9_H6,SG18_100_2_S18,SG18_109_2_S19,SG18_138_1_S32,SG18_138_2_S33,SG18_223_S110,SG18_227_S53,SG18_229_S54,SG18_265_S115,SG18_42_S4,SG18_8_S1
DB_3_D1,0,105,124,652,124,96,96,1082,97,1083,653,143,1083,1082,1084,134,134,96,653,1083,145,1083,103,1083,1083,1083,653,1083,2,169,98,170,153,96,1083,144,1082,96,111,96,97,1070,1093,2,2,3,2,2,2719,1245,671,702,121,164,677,171,142,1039,2870,142,2950,2723,172,1033,1077,1087,1458,3174,142,125,1082,2905,95,142,142,2893,2893,685,2890,144,2714,2714,2883,2856,96,681,1030,1294,2894,1299,1078,2715,1044,672,169,677,2724,149,2841,1082,653,1087,1087,1087,1044,2819,1084,138,138,142,175,2819,1087,1087,1087,1082,115,1082,138,1093,672,2705,2714,104,174,144,2707,2713,663,177,149,137,173,144,142,2145,2145,1402,1346,1088,663,1301,1371,1459,1284,2160,1283,1301,1089,1093,1328,2161,1095,1293,1094,1319,2710,123,1072,2888,1044,1023,1033,2881,1072,142,1297,1093,123,1297,1312,1312,1310,1310,1326,1307,1432,2151,1421,2160
DB_3_F10,105,0,137,651,137,111,111,1091,112,1092,652,129,1092,1091,1091,135,135,111,652,1092,140,1092,118,1092,1092,1092,652,1092,105,194,105,195,172,111,1092,107,1091,111,106,111,112,1077,1098,105,105,106,105,105,2710,1245,668,702,132,189,676,163,137,1040,2867,137,2944,2710,164,1034,1082,1094,1454,3164,128,134,1089,2904,110,128,128,2892,2892,682,2887,133,2705,2705,2880,2851,111,678,1031,1301,2893,1309,1087,2706,1043,665,161,674,2711,132,2837,1091,652,1092,1092,1092,1044,2818,1089,139,139,128,192,2818,1092,1092,1092,1091,124,1089,139,1100,665,2696,2705,103,191,107,2698,2702,660,194,150,123,165,133,128,2154,2154,1401,1345,1093,664,1312,1364,1455,1284,2173,1283,1312,1094,1100,1327,2168,1104,1302,1099,1316,2701,136,1079,2885,1045,1026,1034,2876,1081,153,1286,1100,136,1286,1312,1312,1314,1314,1325,1311,1426,2162,1417,2173
ERQ0043,124,137,0,665,0,154,154,1105,155,1106,666,164,1106,1105,1106,170,170,154,666,1106,133,1106,161,1106,1106,1106,666,1106,124,194,140,195,175,154,1106,152,1105,154,139,154,155,1095,1112,124,124,125,124,124,2722,1257,682,713,137,190,684,187,148,1051,2887,148,2957,2722,188,1045,1100,1108,1468,3187,163,125,1105,2916,153,163,163,2909,2909,690,2906,157,2715,2715,2900,2871,154,692,1042,1303,2910,1307,1103,2716,1052,681,185,686,2723,161,2856,1105,666,1109,1109,1109,1064,2824,1106,174,174,163,183,2824,1109,1109,1109,1105,15,1105,174,1114,681,2706,2715,132,182,152,2708,2712,672,185,143,104,189,157,163,2150,2150,1407,1355,1109,678,1312,1373,1469,1296,2169,1297,1312,1110,1116,1331,2166,1118,1302,1115,1324,2711,1,1089,2907,1054,1037,1045,2898,1097,168,1300,1112,1,1300,1321,1321,1323,1323,1329,1322,1440,2158,1425,2169
ERQ0044,652,651,665,0,665,653,653,1057,654,1058,1,669,1058,1057,1058,671,671,653,1,1058,656,1058,660,1058,1058,1058,1,1058,652,669,647,670,670,653,1058,653,1057,653,659,653,654,1039,1068,652,652,653,652,652,2677,1226,172,297,648,664,154,656,649,1000,2838,649,2922,2686,657,999,1048,1059,1503,3168,668,638,1053,2880,652,668,668,2856,2856,194,2858,654,2679,2679,2854,2829,653,168,993,1285,2857,1280,1052,2680,1010,180,654,173,2685,649,2827,1057,1,1069,1069,1069,996,2787,1066,675,675,668,678,2787,1069,1069,1069,1057,659,1061,675,1064,180,2672,2679,653,677,653,2674,2671,177,680,659,652,658,654,668,2113,2118,1445,1402,1056,141,1282,1427,1504,1263,2129,1265,1282,1057,1069,1395,2125,1064,1279,1063,1285,2671,664,1204,2857,1004,994,999,2848,1050,639,1364,1069,664,1364,1400,1400,1401,1401,1393,1397,1474,2120,1455,2129
ERQ0045,124,137,0,665,0,154,154,1105,155,1106,666,164,1106,1105,1106,170,170,154,666,1106,133,1106,161,1106,1106,1106,666,1106,124,194,140,195,175,154,1106,152,1105,154,139,154,155,1095,1112,124,124,125,124,124,2722,1257,682,713,137,190,684,187,148,1051,2887,148,2957,2722,188,1045,1100,1108,1468,3187,163,125,1105,2916,153,163,163,2909,2909,690,2906,157,2715,2715,2900,2871,154,692,1042,1303,2910,1307,1103,2716,1052,681,185,686,2723,161,2856,1105,666,1109,1109,1109,1064,2824,1106,174,174,163,183,2824,1109,1109,1109,1105,15,1105,174,1114,681,2706,2715,132,182,152,2708,2712,672,185,143,104,189,157,163,2150,2150,1407,1355,1109,678,1312,1373,1469,1296,2169,1297,1312,1110,1116,1331,2166,1118,1302,1115,1324,2711,1,1089,2907,1054,1037,1045,2898,1097,168,1300,1112,1,1300,1321,1321,1323,1323,1329,1322,1440,2158,1425,2169
ERQ0152,96,111,154,653,154,0,0,1061,1,1062,654,113,1062,1061,1063,109,109,0,654,1062,139,1062,7,1062,1062,1062,654,1062,96,165,112,166,155,0,1062,152,1061,0,107,0,1,1068,1068,96,96,97,96,96,2698,1238,662,699,129,160,680,162,140,1019,2865,140,2935,2706,163,1016,1066,1083,1431,3167,112,123,1075,2886,1,112,112,2890,2890,680,2885,146,2697,2697,2878,2847,0,686,1011,1289,2891,1297,1077,2698,1026,671,160,672,2707,151,2832,1061,654,1064,1064,1064,1039,2817,1061,113,113,112,181,2817,1064,1064,1064,1061,145,1059,113,1068,671,2692,2697,116,180,152,2694,2698,668,183,147,124,164,146,112,2129,2129,1377,1344,1082,666,1301,1365,1432,1278,2146,1277,1301,1083,1070,1327,2145,1072,1287,1067,1310,2694,153,1055,2883,1028,1009,1016,2876,1049,144,1292,1066,153,1292,1284,1284,1284,1284,1325,1281,1403,2135,1394,2146
ERQ0154,96,111,154,653,154,0,0,1061,1,1062,654,113,1062,1061,1063,109,109,0,654,1062,139,1062,7,1062,1062,1062,654,1062,96,165,112,166,155,0,1062,152,1061,0,107,0,1,1068,1068,96,96,97,96,96,2698,1238,662,699,129,160,680,162,140,1019,2865,140,2935,2706,163,1016,1066,1083,1431,3167,112,123,1075,2886,1,112,112,2890,2890,680,2885,146,2697,2697,2878,2847,0,686,1011,1289,2891,1297,1077,2698,1026,671,160,672,2707,151,2832,1061,654,1064,1064,1064,1039,2817,1061,113,113,112,181,2817,1064,1064,1064,1061,145,1059,113,1068,671,2692,2697,116,180,152,2694,2698,668,183,147,124,164,146,112,2129,2129,1377,1344,1082,666,1301,1365,1432,1278,2146,1277,1301,1083,1070,1327,2145,1072,1287,1067,1310,2694,153,1055,2883,1028,1009,1016,2876,1049,144,1292,1066,153,1292,1284,1284,1284,1284,1325,1281,1403,2135,1394,2146
ERQ0155,1082,1091,1105,1057,1105,1061,1061,0,1062,1,1058,1084,1,0,168,1084,1084,1061,1058,1,1100,1,1068,1,1,1,1058,1,1082,1082,1088,1083,1082,1061,1,1103,0,1061,1100,1061,1062,189,150,1082,1082,1083,1082,1082,2741,1277,1057,1061,1098,1074,1061,1093,1089,888,2881,1089,2971,2753,1094,872,171,158,1591,3221,1083,1096,184,2926,1060,1083,1083,2904,2904,1055,2901,1082,2742,2742,2899,2860,1061,1054,873,1327,2905,1333,151,2743,885,1055,1091,1069,2752,1108,2861,0,1058,171,171,171,930,2819,173,1086,1086,1083,1105,2819,171,171,171,0,1098,141,1086,146,1055,2748,2742,1090,1104,1103,2750,2743,1050,1107,1098,1101,1095,1082,1083,2153,2151,1580,1551,147,1050,1324,1577,1592,1335,2168,1324,1324,148,87,1556,2165,122,1312,136,1366,2740,1104,1189,2905,896,872,872,2893,113,1079,1558,105,1104,1558,1552,1552,1544,1544,1554,1557,1567,2159,1586,2169
ERQ0156,97,112,155,654,155,1,1,1062,0,1063,655,114,1063,1062,1064,110,110,1,655,1063,140,1063,8,1063,1063,1063,655,1063,97,166,113,167,156,1,1063,153,1062,1,108,1,2,1069,1069,97,97,98,97,97,2699,1239,663,700,130,161,681,163,141,1020,2866,141,2936,2707,164,1017,1067,1084,1432,3168,113,124,1076,2887,2,113,113,2891,2891,681,2886,147,2698,2698,2879,2848,1,687,1012,1290,2892,1298,1078,2699,1027,672,161,673,2708,152,2833,1062,655,1065,1065,1065,1040,2818,1062,114,114,113,182,2818,1065,1065,1065,1062,146,1060,114,1069,672,2693,2698,117,181,153,2695,2699,669,184,148,125,165,147,113,2130,2130,1378,1345,1083,667,1302,1366,1433,1279,2147,1278,1302,1084,1071,1328,2146,1073,1288,1068,1311,2695,154,1056,2884,1029,1010,1017,2877,1050,145,1293,1067,154,1293,1285,1285,1285,1285,1326,1282,1404,2136,1395,2147
ERQ0159,1083,1092,1106,1058,1106,1062,1062,1,1063,0,1059,1085,2,1,169,1085,1085,1062,1059,2,1101,2,1069,2,0,2,1059,2,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2742,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2754,1095,873,172,159,1592,3222,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2743,2743,2900,2861,1062,1055,874,1328,2906,1334,152,2744,886,1056,1092,1070,2753,1109,2862,1,1059,172,172,172,931,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2749,2743,1091,1105,1104,2751,2744,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2741,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
