name	pMLST_scheme	pMLST
GCF_014901875	incac	1
GCF_001281005	incac	 Unknown
GCF_905218895	incac	 Unknown
GCF_902166445	incac	 Unknown
GCF_016500615	incac	 Unknown
GCF_016905765	incac	3
GCF_014856055	incac	 Unknown
GCF_016501665	incac	 Unknown
GCF_013801705	incac	 Unknown
GCF_019660505	incac	 Unknown
GCF_010590395	incac	 Unknown
GCF_016905675	incac	 Unknown
GCF_013925725	incac	 Unknown
GCF_901456235	incac	 Unknown
GCF_018439045	incac	 Unknown
GCF_008931625	incac	 Unknown
GCF_013724985	incac	 Unknown
GCF_020809005	incac	 Unknown
GCF_902498925	incac	3
GCF_018919595	incac	 Unknown
GCF_014855955	incac	 Unknown
GCF_905338045	incac	 Unknown
GCF_016500575	incac	 Unknown
GCF_002151755	incac	 Unknown
GCF_013836145	incac	 Unknown
ERQ0166	incac	 Unknown
GCF_016892575	incac	 Unknown
GCF_013899385	incac	 Unknown
GCF_013725595	incac	 Unknown
GCF_005281355	incac	 Unknown
GCF_016504815	incac	 Unknown
GCF_016859905	incac	 Unknown
GCF_000521965	incac	 Unknown
GCF_004004805	incac	 Unknown
GCF_014803105	incac	 Unknown
GCF_013749535	incac	 Unknown
GCF_001037585	incac	 Unknown
GCF_001721255	incac	2
GCF_008931685	incac	 Unknown
GCF_900079795	incac	 Unknown
GCF_014803115	incac	 Unknown
GCF_900461055	incac	 Unknown
GCF_018066565	incac	3
GCF_005281175	incac	 Unknown
GCF_003990165	incac	 Unknown
GCF_002051555	incac	 Unknown
GCF_016905775	incac	 Unknown
GCF_016505335	incac	 Unknown
GCF_001022155	incac	 Unknown
GCF_002192675	incac	 Unknown
GCF_014101295	incac	 Unknown
GCF_005281025	incac	 Unknown
ERQ0156	incac	 Unknown
GCF_015965555	incac	 Unknown
GCF_014679775	incac	 Unknown
GCF_000937505	incac	1
GCF_001880955	incac	 Unknown
GCF_018441285	incac	 Unknown
GCF_019270335	incac	 Unknown
DB_3_C11	incac	 Unknown
SD_5_A12	incac	 Unknown
GCF_014802805	incac	 Unknown
GCF_008370125	incac	 Unknown
GCF_002903215	incac	 Unknown
ERQ0165	incac	 Unknown
GCF_013792365	incac	 Unknown
GCF_002863945	incac	1
GCF_003400395	incac	 Unknown
GCF_015731115	incac	 Unknown
GCF_018421715	incac	1
GCF_002386385	incac	 Unknown
GCF_019584005	incac	 Unknown
GCF_014333315	incac	 Unknown
GCF_002918575	incac	 Unknown
GCF_004801125	incac	 Unknown
GCF_016500865	incac	 Unknown
GCF_016503635	incac	 Unknown
GCF_000783445	incac	 Unknown
GCF_000018045	incac	 Unknown
GCF_004005255	incac	 Unknown
GCF_016500885	incac	 Unknown
GCF_005281165	incac	 Unknown
GCF_015670485	incac	 Unknown
GCF_016502045	incac	 Unknown
GCF_005281155	incac	 Unknown
GCF_009876795	incac	 Unknown
GCF_003015305	incac	 Unknown
GCF_002417525	incac	 Unknown
GCF_011602505	incac	 Unknown
GCF_015230995	incac	 Unknown
GCF_000277565	incac	 Unknown
GCF_016500585	incac	 Unknown
GCF_004801105	incac	 Unknown
GCF_005960425	incac	 Unknown
GCF_004023995	incac	3
GCF_004801115	incac	 Unknown
GCF_010319905	incac	1
GCF_002939255	incac	 Unknown
GCF_021417205	incac	 Unknown
GCF_016509215	incac	 Unknown
GCF_014855625	incac	 Unknown
GCF_014803025	incac	 Unknown
ERQ0683	incac	 Unknown
GCF_016503845	incac	 Unknown
GCF_000158355	incac	 Unknown
GCF_016502215	incac	 Unknown
GCF_013745755	incac	 Unknown
ERQ0172	incac	 Unknown
GCF_001055315	incac	 Unknown
GCF_016504035	incac	 Unknown
GCF_016500875	incac	 Unknown
SD_2_G2	incac	 Unknown
GCF_900446905	incac	 Unknown
ERQ0682	incac	 Unknown
GCF_905219065	incac	 Unknown
GCF_013786145	incac	 Unknown
GCF_002918495	incac	 Unknown
GCF_013798355	incac	 Unknown
GCF_010119415	incac	 Unknown
ERQ0044	incac	 Unknown
GCF_016501465	incac	 Unknown
GCF_014803275	incac	 Unknown
GCF_002918465	incac	 Unknown
GCF_018443005	incac	 Unknown
GCF_018441725	incac	 Unknown
GCF_015730635	incac	 Unknown
GCF_014931625	incac	 Unknown
GCF_015234875	incac	 Unknown
GCF_013815045	incac	 Unknown
GCF_019656375	incac	 Unknown
GCF_014103655	incac	 Unknown
GCF_003471655	incac	 Unknown
GCF_005217825	incac	 Unknown
GCF_016503915	incac	 Unknown
GCF_001317155	incac	 Unknown
GCF_013797615	incac	 Unknown
GCF_013826265	incac	 Unknown
GCF_014803265	incac	 Unknown
GCF_016501025	incac	 Unknown
GCF_002918555	incac	 Unknown
GCF_021373375	incac	 Unknown
GCF_016500795	incac	 Unknown
GCF_016505625	incac	 Unknown
GCF_014855915	incac	 Unknown
GCF_015674715	incac	 Unknown
GCF_018342065	incac	 Unknown
GCF_021533375	incac	 Unknown
GCF_900449345	incac	 Unknown
GCF_016505395	incac	 Unknown
GCF_016505485	incac	 Unknown
GCF_020099335	incac	 Unknown
ERQ0243	incac	 Unknown
GCF_014103475	incac	 Unknown
GCF_015230755	incac	 Unknown
GCF_016504865	incac	 Unknown
GCF_018106225	incac	3
GCF_016859695	incac	 Unknown
GCF_001482575	incac	 Unknown
GCF_001297795	incac	 Unknown
GCF_009876695	incac	 Unknown
GCF_009664045	incac	 Unknown
GCF_016504115	incac	 Unknown
GCF_013612875	incac	 Unknown
GCF_018423095	incac	 Unknown
GCF_003255895	incac	 Unknown
GCF_001034485	incac	 Unknown
GCF_015674155	incac	 Unknown
GCF_016504735	incac	 Unknown
GCF_016502055	incac	 Unknown
SG18_265_S115	incac	 Unknown
GCF_013741395	incac	 Unknown
GCF_000027085	incac	 Unknown
GCF_008364715	incac	 Unknown
GCF_014902035	incac	 Unknown
GCF_902381795	incac	 Unknown
GCF_013890155	incac	 Unknown
GCF_016893745	incac	 Unknown
GCF_901456255	incac	 Unknown
GCF_016504365	incac	 Unknown
GCF_018106145	incac	 Unknown
GCF_015231155	incac	 Unknown
GCF_014104005	incac	 Unknown
GCF_900446875	incac	 Unknown
GCF_902373845	incac	 Unknown
GCF_004353845	incac	 Unknown
GCF_013746155	incac	 Unknown
GCF_001880845	incac	 Unknown
GCF_002919455	incac	 Unknown
GCF_014855525	incac	 Unknown
GCF_013816515	incac	 Unknown
GCF_016502265	incac	 Unknown
GCF_001922445	incac	 Unknown
GCF_013784645	incac	 Unknown
SD_9_H6	incac	 Unknown
GCF_016859715	incac	 Unknown
GCF_015558715	incac	 Unknown
GCF_001034465	incac	 Unknown
GCF_013899325	incac	 Unknown
GCF_002947675	incac	 Unknown
GCF_001413195	incac	 Unknown
GCF_014230155	incac	 Unknown
GCF_001057215	incac	 Unknown
ERQ0222	incac	 Unknown
GCF_013725165	incac	 Unknown
GCF_001880775	incac	 Unknown
GCF_017151575	incac	 Unknown
GCF_013390245	incac	3
GCF_016501745	incac	 Unknown
GCF_013794885	incac	 Unknown
GCF_900638065	incac	 Unknown
GCF_018420455	incac	 Unknown
GCF_016502165	incac	 Unknown
GCF_001413255	incac	 Unknown
GCF_902387635	incac	 Unknown
GCF_013747755	incac	 Unknown
GCF_902807235	incac	 Unknown
GCF_019502645	incac	3
GCF_000783755	incac	 Unknown
ERQ0233	incac	 Unknown
GCF_016894085	incac	 Unknown
GCF_019800295	incac	 Unknown
GCF_014104235	incac	 Unknown
GCF_013741155	incac	 Unknown
GCF_900460975	incac	 Unknown
GCF_015230675	incac	 Unknown
GCF_005280845	incac	 Unknown
GCF_014803045	incac	 Unknown
GCF_902387995	incac	 Unknown
GCF_009876815	incac	 Unknown
GCF_015549445	incac	 Unknown
GCF_018447685	incac	 Unknown
GCF_014803335	incac	 Unknown
GCF_905329885	incac	 Unknown
GCF_019448455	incac	 Unknown
GCF_020889125	incac	 Unknown
GCF_000759815	incac	 Unknown
GCF_001558935	incac	 Unknown
GCF_016939615	incac	3
GCF_016505125	incac	 Unknown
GCF_005281265	incac	 Unknown
GCF_002151735	incac	 Unknown
GCF_018446835	incac	 Unknown
GCF_021729115	incac	 Unknown
GCF_001413095	incac	 Unknown
GCF_014855535	incac	 Unknown
GCF_005280945	incac	 Unknown
ERQ0689	incac	 Unknown
GCF_018422455	incac	 Unknown
GCF_001880865	incac	 Unknown
GCF_001034475	incac	 Unknown
GCF_016504515	incac	 Unknown
GCF_016905875	incac	 Unknown
GCF_013618825	incac	 Unknown
GCF_014104375	incac	 Unknown
GCF_001412825	incac	 Unknown
GCF_001559235	incac	 Unknown
GCF_004152635	incac	 Unknown
GCF_013882995	incac	 Unknown
GCF_011077325	incac	 Unknown
GCF_014230185	incac	 Unknown
GCF_016504085	incac	 Unknown
GCF_018138525	incac	 Unknown
GCF_000648515	incac	3
ERQ0227	incac	 Unknown
GCF_010279875	incac	 Unknown
GCF_013816335	incac	 Unknown
GCF_014104775	incac	 Unknown
GCF_016504825	incac	 Unknown
GCF_012524235	incac	 Unknown
GCF_013925325	incac	 Unknown
GCF_014104155	incac	 Unknown
GCF_016504605	incac	 Unknown
GCF_002042885	incac	 Unknown
GCF_002215385	incac	 Unknown
GCF_004331585	incac	 Unknown
GCF_018438605	incac	 Unknown
ERQ0671	incac	 Unknown
GCF_001559075	incac	 Unknown
GCF_016504345	incac	 Unknown
GCF_015230695	incac	 Unknown
GCF_016503495	incac	 Unknown
GCF_019660135	incac	 Unknown
GCF_016501755	incac	 Unknown
GCF_000759735	incac	 Unknown
GCF_004024405	incac	 Unknown
GCF_005281305	incac	 Unknown
GCF_014803285	incac	 Unknown
GCF_001065805	incac	 Unknown
GCF_004145665	incac	 Unknown
GCF_016501405	incac	 Unknown
GCF_005280805	incac	 Unknown
GCF_016503985	incac	 Unknown
GCF_015137095	incac	1
GCF_900112055	incac	 Unknown
GCF_016501985	incac	 Unknown
GCF_000388155	incac	 Unknown
GCF_014803075	incac	3
GCF_018066535	incac	3
GCF_005281325	incac	 Unknown
GCF_018423075	incac	 Unknown
GCF_016428845	incac	 Unknown
GCF_005281215	incac	 Unknown
GCF_013728095	incac	 Unknown
GCF_018421575	incac	 Unknown
GCF_013821695	incac	 Unknown
GCF_016504485	incac	 Unknown
GCF_019270375	incac	 Unknown
GCF_016507855	incac	 Unknown
GCF_001463265	incac	1
DB_3_D2	incac	 Unknown
GCF_014802905	incac	 Unknown
GCF_902506695	incac	3
GCF_014333035	incac	 Unknown
GCF_014189375	incac	3
GCF_002189125	incac	 Unknown
GCF_019399955	incac	 Unknown
GCF_019270355	incac	 Unknown
ERQ0183	incac	 Unknown
GCF_000764735	incac	 Unknown
GCF_016501935	incac	 Unknown
GCF_016501295	incac	 Unknown
ERQ0213	incac	 Unknown
GCF_009721345	incac	 Unknown
GCF_005281255	incac	 Unknown
GCF_009856875	incac	1
GCF_016503935	incac	 Unknown
GCF_013425705	incac	 Unknown
GCF_016501785	incac	 Unknown
GCF_001412735	incac	 Unknown
GCF_003812325	incac	 Unknown
GCF_018423215	incac	 Unknown
GCF_014337295	incac	 Unknown
GCF_003363295	incac	 Unknown
GCF_016501115	incac	 Unknown
GCF_014902055	incac	 Unknown
GCF_009821555	incac	3
GCF_001059745	incac	 Unknown
ERQ0678	incac	 Unknown
GCF_013337015	incac	1
GCF_001411885	incac	 Unknown
GCF_019270215	incac	 Unknown
GCF_019270575	incac	 Unknown
GCF_002850715	incac	 Unknown
ERQ0045	incac	 Unknown
GCF_016501905	incac	 Unknown
GCF_009821375	incac	 Unknown
ERQ0154	incac	 Unknown
GCF_004167485	incac	 Unknown
GCF_016507545	incac	 Unknown
GCF_018502305	incac	 Unknown
GCF_016505605	incac	 Unknown
GCF_013085885	incac	 Unknown
GCF_001055295	incac	 Unknown
GCF_001867255	incac	 Unknown
GCF_008370135	incac	 Unknown
GCF_016500505	incac	 Unknown
GCF_016504495	incac	 Unknown
GCF_019281555	incac	 Unknown
GCF_018442145	incac	 Unknown
GCF_019047765	incac	 Unknown
GCF_016501865	incac	 Unknown
GCF_001880905	incac	 Unknown
GCF_016500805	incac	 Unknown
GCF_002880615	incac	 Unknown
GCF_019659905	incac	 Unknown
GCF_016905625	incac	 Unknown
GCF_013266895	incac	 Unknown
GCF_016505445	incac	 Unknown
GCF_018420365	incac	3
GCF_013724765	incac	 Unknown
GCF_018420675	incac	 Unknown
GCF_016461655	incac	 Unknown
GCF_020034515	incac	 Unknown
GCF_013791065	incac	 Unknown
GCF_019660345	incac	 Unknown
GCF_002863965	incac	 Unknown
ERQ0250	incac	 Unknown
GCF_001412795	incac	 Unknown
GCF_020215855	incac	 Unknown
GCF_014803315	incac	 Unknown
GCF_019270315	incac	 Unknown
GCF_018446045	incac	3
GCF_009876755	incac	 Unknown
GCF_016502005	incac	 Unknown
GCF_014596835	incac	 Unknown
GCF_005280825	incac	 Unknown
GCF_004331535	incac	 Unknown
GCF_016859065	incac	 Unknown
ERQ0173	incac	 Unknown
GCF_013746415	incac	 Unknown
GCF_001546285	incac	 Unknown
GCF_009876705	incac	 Unknown
GCF_900446975	incac	 Unknown
GCF_009648935	incac	 Unknown
GCF_900520335	incac	 Unknown
GCF_900080005	incac	 Unknown
GCF_016503385	incac	 Unknown
GCF_002918855	incac	3
GCF_014903125	incac	1
SG18_138_1_S32	incac	 Unknown
ERQ0685	incac	 Unknown
GCF_009857035	incac	3
GCF_004801555	incac	 Unknown
GCF_005280855	incac	 Unknown
GCF_016504105	incac	 Unknown
GCF_014926275	incac	 Unknown
GCF_000759835	incac	 Unknown
GCF_019265345	incac	 Unknown
