name	Metal	Biocide	Heat	Virulence	Acid
GCF_014901875	arsA,arsD,arsR,merR,merT	qacEdelta1			
GCF_001281005	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_905218895		qacEdelta1			
GCF_902166445	arsA,arsD,arsR		hsp20		
GCF_016500615	merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_016905765	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ	qacE			
GCF_014856055	arsA,arsD,arsR	qacE,qacEdelta1		iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_016501665	pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_013801705	arsA,arsD,arsR				
GCF_019660505	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacE			
GCF_010590395	ncrC,nirA,nirB,nirD,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_016905675	arsA,arsD,arsR,merA,merD,merE,merR,merT,terD,terW,terZ	qacEdelta1			
GCF_013925725	arsA,arsD,arsR,merA,merD,merE,merR,merT				
GCF_901456235	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1,qacL			
GCF_018439045	arsA,arsD,arsH,arsR,merC,merD,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS,terD,terW,terZ	qacEdelta1			
GCF_008931625	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ	qacEdelta1,qacG2			
GCF_013724985	arsR				
GCF_020809005	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_902498925	arsA,arsD,arsR,merA,merB,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_018919595	arsA,arsD,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silC,silF,silR,silS				
GCF_014855955		qacE,qacEdelta1	hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_905338045	merD,merE,merF,merP,merR,merT				
GCF_016500575	arsA,arsD,arsR	qacEdelta1			
GCF_002151755	arsA,arsD,arsR,ncrA,ncrB,ncrC,ncrY,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_013836145	arsC				
ERQ0166	arsA,arsD,arsR,merA,merD,merE,merR,merT	qacEdelta1			
GCF_016892575	arsA,arsD,arsR				
GCF_013899385	arsA,arsD,arsR				
