name	perc_frags	num_frags	num_frags_direct	rank	ncbi_taxon_id	scientific_name
DB_3_C11	100.00	285	0	R	1	root
DB_3_C11	100.00	285	0	R1	131567	  cellular organisms
DB_3_C11	100.00	285	21	D	2	    Bacteria
DB_3_C11	 92.63	264	10	P	1224	      Proteobacteria
DB_3_C11	 88.42	252	30	C	1236	        Gammaproteobacteria
DB_3_C11	 76.14	217	14	O	91347	          Enterobacterales
DB_3_C11	 71.23	203	43	F	543	            Enterobacteriaceae
DB_3_C11	 40.35	115	8	G	544	              Citrobacter
DB_3_C11	 36.84	105	5	G1	1344959	                Citrobacter freundii complex
DB_3_C11	 34.39	98	82	S	546	                  Citrobacter freundii
DB_3_C11	  4.56	13	13	S1	1006003	                    Citrobacter freundii ATCC 8090 = MTCC 1658 = NBRC 12681
DB_3_C11	  1.05	3	3	S1	1333848	                    Citrobacter freundii CFNIH1
DB_3_C11	  0.70	2	2	S	1639133	                  Citrobacter portucalensis
DB_3_C11	  0.70	2	0	G1	2644389	                unclassified Citrobacter
DB_3_C11	  0.70	2	2	S	1920110	                  Citrobacter sp. CFNIH10
DB_3_C11	  6.32	18	1	G	570	              Klebsiella
DB_3_C11	  3.86	11	11	S	573	                Klebsiella pneumoniae
DB_3_C11	  1.05	3	3	S	1134687	                Klebsiella michiganensis
DB_3_C11	  0.70	2	0	G1	2608929	                unclassified Klebsiella
DB_3_C11	  0.70	2	2	S	2675726	                  Klebsiella sp. WP8-S18-ESBL-06
DB_3_C11	  0.35	1	1	S	1463165	                Klebsiella quasipneumoniae
DB_3_C11	  5.26	15	0	G	561	              Escherichia
DB_3_C11	  5.26	15	11	S	562	                Escherichia coli
DB_3_C11	  0.35	1	1	S1	585056	                  Escherichia coli UMN026
DB_3_C11	  0.35	1	1	S1	2778652	                  Escherichia coli O100:H21
DB_3_C11	  0.35	1	1	S1	2605619	                  Escherichia coli O16:H48
DB_3_C11	  0.35	1	1	S1	2773704	                  Escherichia coli O15:H12
DB_3_C11	  3.51	10	0	G	547	              Enterobacter
DB_3_C11	  3.51	10	2	G1	354276	                Enterobacter cloacae complex
DB_3_C11	  1.05	3	3	S	158836	                  Enterobacter hormaechei
DB_3_C11	  1.05	3	3	S	208224	                  Enterobacter kobei
DB_3_C11	  0.35	1	1	S	550	                  Enterobacter cloacae
DB_3_C11	  0.35	1	0	G2	2757714	                  unclassified Enterobacter cloacae complex
DB_3_C11	  0.35	1	1	S	1915310	                    Enterobacter cloacae complex sp. ECNIH7
DB_3_C11	  0.35	1	0	G	590	              Salmonella
DB_3_C11	  0.35	1	0	S	28901	                Salmonella enterica
DB_3_C11	  0.35	1	0	S1	59201	                  Salmonella enterica subsp. enterica
DB_3_C11	  0.35	1	1	S2	58096	                    Salmonella enterica subsp. enterica serovar Bareilly
DB_3_C11	  0.35	1	0	G	2055876	              Metakosakonia
DB_3_C11	  0.35	1	0	G1	2639707	                unclassified Metakosakonia
DB_3_C11	  0.35	1	1	S	2487150	                  Metakosakonia sp. MRY16-398
DB_3_C11	  1.05	3	0	O	72274	          Pseudomonadales
DB_3_C11	  0.70	2	0	F	135621	            Pseudomonadaceae
DB_3_C11	  0.70	2	1	G	286	              Pseudomonas
DB_3_C11	  0.35	1	0	G1	136841	                Pseudomonas aeruginosa group
DB_3_C11	  0.35	1	1	S	287	                  Pseudomonas aeruginosa
DB_3_C11	  0.35	1	0	F	468	            Moraxellaceae
DB_3_C11	  0.35	1	0	G	469	              Acinetobacter
DB_3_C11	  0.35	1	0	G1	909768	                Acinetobacter calcoaceticus/baumannii complex
DB_3_C11	  0.35	1	1	S	470	                  Acinetobacter baumannii
DB_3_C11	  0.70	2	0	O	135624	          Aeromonadales
DB_3_C11	  0.70	2	0	F	84642	            Aeromonadaceae
DB_3_C11	  0.70	2	0	G	642	              Aeromonas
