name	scheme	ST	allele1	allele2	allele3	allele4	allele5	allele6	allele7	ST_new	bacsort_species	match	collection	Int_Ext	biosample	Source	Country	Date	strain	Flag	Source_img
GCF_014901875	cfreundii	18	aspC(10)	clpX(14)	fadD(17)	mdh(12)	arcA(5)	dnaG(5)	lysP(14)	18	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_001281005	cfreundii	252	aspC(108)	clpX(62)	fadD(71)	mdh(7)	arcA(1)	dnaG(1)	lysP(57)	252	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN03996567	Human	China	2013	P10159	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_905218895	cfreundii	-	aspC(26)	clpX(5)	fadD(17)	mdh(15)	arcA(40)	dnaG(9)	lysP(17)	placeholder_ST1	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA7853238	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_902166445	cfreundii	307	aspC(142)	clpX(150)	fadD(182)	mdh(140)	arcA(79)	dnaG(6)	lysP(74)	307	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA104567751	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_016500615	cfreundii	-	aspC(24)	clpX(18)	fadD(~126)	mdh(100)	arcA(11)	dnaG(~53)	lysP(53)	placeholder_ST2	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN16340034	Human	USA	2019	CB00199	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016905765	cfreundii	65	aspC(16)	clpX(17)	fadD(20)	mdh(48)	arcA(12)	dnaG(11)	lysP(46)	65	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16933267	Human	Czech Republic	2018	CF47299	Czech Republic	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_013801705	cfreundii	-	aspC(~84)	clpX(~154)	fadD(~174)	mdh(~132)	arcA(71)	dnaG(~139)	lysP(145)	placeholder_ST3	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148428	Bovine	United Kingdom	2017	RHB41-C16	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/cow.png
GCF_019660505	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN20568179	Human	China	2015	CF-15-61	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_010590395	cfreundii	95	aspC(51)	clpX(53)	fadD(33)	mdh(15)	arcA(5)	dnaG(6)	lysP(5)	95	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12250780	Human	USA	2015	AS012461	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016905675	cfreundii	-	aspC(10)	clpX(~112)	fadD(194)	mdh(48)	arcA(91)	dnaG(22)	lysP(74)	placeholder_ST4	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16933274	Human	Czech Republic	2019	CF48658	Czech Republic	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
