snp-dists 0.6.3,152,154,155,156,159,160,161,162,165,166,169,172,173,175,183,186,189,192,199,200,211,212,213,216,217,222,224,225,227,230,233,241,243,246,250,251,255,259,278,310,43,44,45,46,572,671,672,674,677,678,681,682,683,685,689,CABIZU01,CACD01,CP011612,CP011657,CP016952,CP020448,CP022049,CP024672,CP024673,CP024677,CP024679,CP024680,CP024683,CP024819,CP024881,CP024898,CP026045,CP026056,CP026231,CP026235,CP026238,CP026677,CP027849,CP036435,CP042478,CP042517,CP042524,CP042534,DB_3_C10,DB_3_C11,DB_3_C12,DB_3_C9,DB_3_D1,DB_3_D2,DB_3_F10,DB_5_F12,GCF_014332835,GCF_014332855,GCF_014332945,JRHL01000001,JRST01,JYFY02000001,JYFZ02000001,LR699006,LRPR01,NZ_LR890181,SD_5_A12,SD_5_D4,SD_9_B7,SD_9_C7
152,0,0,31098,67,31098,22014,3795,31099,31096,31099,31162,22220,3777,3976,22424,3779,64,22014,31099,4100,31099,110,31104,31098,31099,22016,31099,3304,5407,3565,5399,5358,5,31101,3784,31096,65,3982,64,62,4156,22002,4156,3951,31121,31100,31054,31051,31054,3307,3307,3308,3363,3307,3307,3824,31135,3786,3788,72,29861,31062,4046,5424,3568,4126,4093,5012,29756,5013,22097,29798,5008,3791,31097,22010,22097,5420,3794,3616,3612,4154,4153,3312,3310,3312,3311,3308,3311,3407,3313,31762,31762,31752,31050,3888,3791,3973,29798,4045,3643,31133,4079,31075,4157
154,0,0,31098,67,31098,22014,3795,31099,31096,31099,31162,22220,3777,3976,22424,3779,64,22014,31099,4100,31099,110,31104,31098,31099,22016,31099,3304,5407,3565,5399,5358,5,31101,3784,31096,65,3982,64,62,4156,22002,4156,3951,31121,31100,31054,31051,31054,3307,3307,3308,3363,3307,3307,3824,31135,3786,3788,72,29861,31062,4046,5424,3568,4126,4093,5012,29756,5013,22097,29798,5008,3791,31097,22010,22097,5420,3794,3616,3612,4154,4153,3312,3310,3312,3311,3308,3311,3407,3313,31762,31762,31752,31050,3888,3791,3973,29798,4045,3643,31133,4079,31075,4157
155,31098,31098,0,31101,20,30466,31118,9,13,9,4130,30693,31212,31205,30720,31214,31100,30466,9,31238,9,31129,14,18,27,30468,9,31116,31195,31027,31189,31151,31098,19,31201,2,31101,31198,31100,31098,31246,30463,31246,31239,4047,26,3655,3652,3655,31122,31122,31123,31175,31122,31122,31211,3504,31109,31111,31096,26378,3290,31090,31306,31029,31228,31183,31080,26305,31079,30512,26378,31075,31210,21,30463,30512,31299,31116,31135,31131,31246,31246,31129,31128,31130,31129,31126,31129,31164,31131,32919,32919,32858,3571,31172,31112,31156,26378,31091,31092,3691,31190,3480,31248
156,67,67,31101,0,31101,22020,3800,31102,31099,31102,31165,22226,3782,3981,22428,3784,3,22020,31102,4105,31102,115,31107,31101,31102,22022,31102,3309,5412,3570,5404,5363,68,31104,3789,31099,6,3987,3,37,4161,22008,4161,3956,31124,31103,31057,31054,31057,3312,3312,3313,3368,3312,3312,3829,31136,3791,3793,77,29863,31065,4051,5429,3573,4131,4098,5017,29758,5018,22102,29798,5013,3796,31100,22016,22102,5425,3799,3621,3617,4159,4158,3317,3315,3317,3316,3313,3316,3412,3318,31763,31763,31755,31053,3893,3796,3978,29798,4050,3648,31134,4084,31076,4162
159,31098,31098,20,31101,0,30466,31116,19,19,19,4134,30693,31212,31205,30720,31214,31100,30466,19,31240,19,31129,24,2,31,30468,19,31116,31195,31027,31189,31151,31098,7,31201,18,31101,31198,31100,31098,31246,30463,31246,31239,4051,30,3659,3656,3659,31122,31122,31123,31175,31122,31122,31211,3508,31107,31109,31096,26380,3292,31090,31306,31029,31228,31181,31080,26307,31079,30512,26380,31075,31210,25,30463,30512,31299,31114,31133,31129,31246,31246,31129,31128,31130,31129,31126,31129,31164,31131,32921,32921,32860,3575,31172,31110,31158,26380,31091,31090,3695,31190,3482,31248
160,22014,22014,30466,22020,30466,0,22050,30465,30465,30465,30510,5129,22078,22105,6364,22080,22017,0,30465,22137,30465,22053,30468,30464,30469,4,30465,22033,21944,22018,21937,21980,22015,30467,22058,30464,22018,22099,22017,22014,22175,42,22175,22235,30452,30470,30465,30463,30465,22035,22035,22036,22091,22035,22035,22116,30510,22042,22044,22015,28864,30439,22171,21982,22020,22187,22129,21945,28727,21945,5017,28842,21941,22085,30465,20,5017,21976,22049,22049,22045,22173,22173,22040,22038,22040,22039,22036,22039,21995,22041,36277,36277,36224,30389,22103,22047,22135,28842,22172,22030,30496,22124,30456,22179
161,3795,3795,31118,3800,31116,22050,0,31119,31116,31119,31195,22237,3639,4075,22431,3641,3797,22050,31119,4247,31119,3834,31124,31116,31119,22052,31119,3845,5441,3862,5433,5357,3796,31119,3723,31116,3798,4066,3797,3795,4046,22049,4046,4108,31143,31120,31067,31064,31067,3848,3848,3849,3904,3848,3848,3688,31150,23,25,3795,29935,31085,4068,5516,3864,4216,4170,5081,29830,5082,22143,29910,5077,3652,31117,22046,22143,5512,31,3933,3929,4043,4043,3853,3851,3853,3852,3849,3852,3720,3854,31847,31847,31809,31080,3905,28,3968,29910,4067,3913,31155,4099,31123,4047
162,31099,31099,9,31102,19,30465,31119,0,14,0,4131,30692,31213,31206,30719,31215,31101,30465,0,31241,0,31130,13,17,28,30467,0,31117,31196,31028,31190,31152,31099,18,31202,7,31102,31199,31101,31099,31247,30462,31247,31240,4048,27,3656,3653,3656,31123,31123,31124,31176,31123,31123,31212,3505,31110,31112,31097,26377,3289,31091,31307,31030,31229,31184,31081,26304,31080,30511,26377,31076,31211,22,30462,30511,31300,31117,31136,31132,31247,31247,31130,31129,31131,31130,31127,31130,31165,31132,32920,32920,32859,3572,31173,31113,31159,26377,31092,31093,3692,31191,3479,31249
165,31096,31096,13,31099,19,30465,31116,14,0,14,4129,30692,31210,31203,30719,31212,31098,30465,14,31238,14,31127,19,17,26,30467,14,31114,31193,31025,31187,31149,31096,18,31199,11,31099,31196,31098,31096,31244,30462,31244,31237,4046,25,3654,3651,3654,31120,31120,31121,31173,31120,31120,31209,3503,31107,31109,31094,26376,3289,31088,31304,31027,31226,31181,31078,26303,31077,30511,26376,31073,31208,20,30462,30511,31297,31114,31133,31129,31244,31244,31127,31126,31128,31127,31124,31127,31162,31129,32918,32918,32857,3570,31170,31110,31156,26376,31089,31090,3690,31188,3479,31246
166,31099,31099,9,31102,19,30465,31119,0,14,0,4131,30692,31213,31206,30719,31215,31101,30465,0,31241,0,31130,13,17,28,30467,0,31117,31196,31028,31190,31152,31099,18,31202,7,31102,31199,31101,31099,31247,30462,31247,31240,4048,27,3656,3653,3656,31123,31123,31124,31176,31123,31123,31212,3505,31110,31112,31097,26377,3289,31091,31307,31030,31229,31184,31081,26304,31080,30511,26377,31076,31211,22,30462,30511,31300,31117,31136,31132,31247,31247,31130,31129,31131,31130,31127,31130,31165,31132,32920,32920,32859,3572,31173,31113,31159,26377,31092,31093,3692,31191,3479,31249
